,srch_id,prop_country_id,year,month,prop_score,prop_location_score1,prop_location_score2,diff_hist_price,usd_diff,star_diff,srch_query_affinity_score,orig_destination_distance,prop_review_score,position,price_rank,stars_rank,score_rank,booking_bool,click_bool,price_per_pers,random_bool,price_usd,total_price,nr_pers,prop_id_counts,comp2_rate,comp5_rate,comp8_rate,rank_rel,DCG
0,1,219,2013,4,0.015480510669573606,2.83,0.0438,36.40496392147686,104.77,3.0,0.0,0.0,3.5,27,5.0,8.0,19.0,0,0,26.1925,1,104.77,104.77,4,612,0.0,0.0,0.0,0.0,8.142135586153
1,1,219,2013,4,0.006777241921627628,2.2,0.0149,-17.80698730438525,170.74,4.0,0.0,0.0,4.0,26,19.0,20.0,10.0,0,0,42.685,1,170.74,170.74,4,583,0.0,0.0,0.0,0.0,0.24465054211822604
2,1,219,2013,4,0.011140858450643405,2.2,0.0245,-42.79738681353104,179.8,3.0,0.0,0.0,4.5,21,20.0,8.0,15.0,0,0,44.95,1,179.8,179.8,4,551,0.0,0.0,0.0,0.0,31.0
3,1,219,2013,4,0.004420479079579224,2.83,0.0125,-522.129581019523,602.77,2.0,0.0,0.0,4.0,34,28.0,1.0,8.0,0,0,150.6925,1,602.77,602.77,4,460,-1.0,0.0,-1.0,0.0,7.584166805665007
4,1,219,2013,4,0.047011185563691035,2.64,0.1241,-5.200487660039414,143.58,4.0,0.0,0.0,3.5,4,16.0,20.0,25.0,0,0,35.895,1,143.58,143.58,4,665,0.0,0.0,0.0,0.0,0.2
5,1,219,2013,4,0.04700705051606312,2.77,0.1302,-14.04775812484877,195.32,4.0,0.0,0.0,4.5,7,25.0,20.0,28.0,0,0,48.83,1,195.32,195.32,4,643,0.0,0.0,0.0,0.0,1.0
6,1,219,2013,4,0.016186290062317896,2.2,0.0356,-6.618382482734859,129.35,3.0,0.0,0.0,3.5,18,12.0,8.0,16.0,0,0,32.3375,1,129.35,129.35,4,211,0.0,0.0,0.0,0.0,0.20584683246043448
7,1,219,2013,4,6.211141545704686e-06,1.61,0.0,-22.567178550798353,85.37,2.0,0.0,0.0,0.0,35,1.0,1.0,1.0,0,0,21.3425,1,85.37,85.37,4,104,0.0,0.0,0.0,0.0,13.350973300275186
8,1,219,2013,4,0.048363092331670576,2.56,0.1238,27.63281099336439,150.05,4.0,0.0,0.0,4.0,3,17.0,20.0,24.0,0,0,37.5125,1,150.05,150.05,4,793,0.0,0.0,0.0,0.0,6.8530066131826155
9,1,219,2013,4,0.03632849353889209,2.83,0.1028,-108.25850968314566,280.69,4.0,0.0,0.0,4.0,10,27.0,20.0,22.0,0,0,70.1725,1,280.69,280.69,4,675,0.0,0.0,0.0,0.0,6.519607453571727
10,1,219,2013,4,4.5454338843914345e-06,2.2,0.0,-29.36594407139268,190.14,3.0,0.0,0.0,0.0,20,22.0,8.0,1.0,0,0,47.535,1,190.14,190.14,4,336,1.0,0.0,0.0,0.0,31.0
11,1,219,2013,4,0.0171408311780401,2.2,0.0377,18.214350044813887,100.89,3.0,0.0,0.0,3.5,19,2.0,8.0,18.0,0,0,25.2225,1,100.89,100.89,4,706,0.0,0.0,1.0,0.0,8.142135586153
12,1,219,2013,4,0.009368139235730743,2.2,0.0206,-16.11505832617196,100.89,2.0,0.0,0.0,3.0,13,2.0,1.0,14.0,1,1,25.2225,1,100.89,100.89,4,584,0.0,0.0,0.0,5.0,0.43067655807339306
13,1,219,2013,4,0.052295615434935695,2.4,0.1255,-57.90698730438524,210.84,3.0,0.0,0.0,4.5,2,26.0,8.0,26.0,0,0,52.71,1,210.84,210.84,4,626,0.0,0.0,0.0,0.0,13.350973300275186
14,1,219,2013,4,0.0067434489415263395,2.3,0.0155,14.533012695614758,138.4,3.0,0.0,0.0,4.0,15,13.0,8.0,12.0,0,0,34.6,1,138.4,138.4,4,578,0.0,0.0,0.0,0.0,31.0
15,1,219,2013,4,0.004027910458600789,1.79,0.0072,-10.87286869947819,100.89,2.0,0.0,0.0,3.0,31,2.0,1.0,7.0,0,0,25.2225,1,100.89,100.89,4,570,0.0,1.0,0.0,0.0,0.31546487678572877
16,1,219,2013,4,0.02245230458399801,2.94,0.066,25.05281099336441,152.63,4.0,0.0,0.0,4.0,23,18.0,20.0,21.0,0,0,38.1575,1,152.63,152.63,4,753,0.0,1.0,0.0,0.0,31.930676558073394
17,1,219,2013,4,0.0027409874749102525,1.39,0.0038,-16.88958248126515,138.4,3.0,0.0,0.0,3.0,36,13.0,8.0,4.0,0,0,34.6,1,138.4,138.4,4,139,0.0,0.0,0.0,0.0,0.19195872000656014
18,1,219,2013,4,0.04570741621871401,2.77,0.1266,30.354381653610034,115.12,4.0,0.0,0.0,3.5,8,7.0,20.0,27.0,0,0,28.78,1,115.12,115.12,4,724,0.0,0.0,0.0,0.0,31.0
19,1,219,2013,4,0.007216311460041056,2.08,0.015,4.929875351798415,191.44,4.0,0.0,0.0,4.0,6,24.0,20.0,11.0,0,0,47.86,1,191.44,191.44,4,633,0.0,0.0,0.0,0.0,9.779411180357592
20,1,219,2013,4,0.0132508736130125,2.71,0.0359,-11.827840094300823,122.88,3.0,0.0,0.0,4.0,28,10.0,8.0,17.0,0,0,30.72,1,122.88,122.88,4,614,0.0,0.0,0.0,0.0,16.46426308690479
21,1,219,2013,4,0.04787896717097012,2.4,0.1149,-1.3204876600393902,139.7,4.0,0.0,0.0,3.5,1,15.0,20.0,23.0,0,0,34.925,1,139.7,139.7,4,761,0.0,0.0,-1.0,0.0,7.584166805665007
22,1,219,2013,4,0.005127190363284935,2.83,0.0145,-7.349927428599543,115.12,2.0,0.0,0.0,3.5,32,7.0,1.0,9.0,0,0,28.78,1,115.12,115.12,4,530,0.0,1.0,-1.0,0.0,13.350973300275186
23,1,219,2013,4,0.017162298294102242,2.71,0.0465,-43.28505832617196,128.06,2.0,0.0,0.0,3.5,12,11.0,1.0,20.0,0,0,32.015,1,128.06,128.06,4,593,0.0,1.0,0.0,0.0,7.75
24,1,219,2013,4,0.007459057004286344,2.2,0.0164,-29.67869620594732,181.09,3.0,0.0,0.0,4.5,24,21.0,8.0,13.0,0,0,45.2725,1,181.09,181.09,4,632,0.0,0.0,0.0,0.0,13.350973300275186
25,1,219,2013,4,0.010304198489876959,0.69,0.0071,-13.592257567549186,120.29,3.0,0.0,0.0,2.5,37,9.0,8.0,6.0,0,0,30.0725,1,120.29,120.29,4,230,0.0,0.0,0.0,0.0,0.43067655807339306
26,1,219,2013,4,0.0032360047453121412,1.61,0.0052,1.927742432450828,104.77,2.0,0.0,0.0,3.5,33,5.0,1.0,5.0,0,0,26.1925,1,104.77,104.77,4,597,0.0,0.0,0.0,0.0,31.0
27,1,219,2013,4,0.0013956461058864966,2.3,0.0032,44.95742436523858,190.14,3.0,0.0,0.0,4.5,29,22.0,8.0,3.0,0,0,47.535,1,190.14,190.14,4,385,0.0,0.0,0.0,0.0,10.333333333333334
28,4,219,2012,12,0.07900907140039938,3.22,0.2544,100.44036815532412,295.0,4.0,0.0,238.35,4.0,21,19.0,17.0,21.0,0,0,295.0,1,295.0,295.0,1,431,0.0,0.0,0.0,0.0,1.0
29,4,219,2012,12,3.6900232840469214e-06,2.71,0.0,-17.537281524719962,299.0,4.0,0.0,238.34,4.0,36,20.0,17.0,1.0,0,0,299.0,1,299.0,299.0,1,478,0.0,0.0,0.0,0.0,0.6309297535714575
30,4,219,2012,12,0.05975447281219622,3.22,0.1924,72.85777008251677,373.0,5.0,0.0,238.33,4.5,22,28.0,30.0,18.0,0,0,373.0,1,373.0,373.0,1,505,0.0,0.0,0.0,0.0,13.350973300275186
31,4,219,2012,12,0.11438921966497036,3.26,0.3729,-17.935589018607054,329.0,3.0,0.0,238.29,4.0,4,22.0,12.0,32.0,0,0,329.0,1,329.0,329.0,1,360,0.0,0.0,0.0,0.0,1.0
32,4,219,2012,12,0.08116802210996082,3.09,0.2508,-102.29874871319294,600.0,5.0,0.0,238.35,4.5,26,32.0,30.0,20.0,0,0,600.0,1,600.0,600.0,1,306,0.0,0.0,0.0,0.0,8.377382787246912
33,4,219,2012,12,0.05476034058142207,3.09,0.1692,-69.10637935951594,365.0,4.0,0.0,237.94,4.0,3,27.0,17.0,17.0,0,0,365.0,1,365.0,365.0,1,525,0.0,0.0,0.0,0.0,19.558822360715183
34,4,219,2012,12,0.10988003104284956,3.26,0.3582,-23.03073162258897,331.0,4.0,0.0,238.32,4.5,24,25.0,17.0,29.0,0,0,331.0,1,331.0,331.0,1,536,0.0,0.0,0.0,0.0,0.25
35,4,219,2012,12,0.045860693007465994,3.09,0.1417,43.41171387618221,329.0,4.0,0.0,238.3,4.5,9,22.0,17.0,16.0,0,0,329.0,1,329.0,329.0,1,507,0.0,0.0,0.0,0.0,6.675486650137593
36,4,219,2012,12,0.09957331419228777,3.26,0.3246,109.706155409357,259.0,4.0,0.0,238.33,4.5,18,16.0,17.0,26.0,0,0,259.0,1,259.0,259.0,1,297,0.0,0.0,0.0,0.0,9.779411180357592
37,4,219,2012,12,0.013554422232525157,1.1,0.0149,-77.76244409422526,335.0,4.0,0.0,238.54,4.5,10,26.0,17.0,9.0,0,0,335.0,1,335.0,335.0,1,178,0.0,0.0,0.0,0.0,19.558822360715183
38,4,219,2012,12,0.051123906062695255,1.61,0.0823,0.20338555395446176,219.0,0.0,0.0,236.91,4.5,29,13.0,1.0,14.0,0,0,219.0,1,219.0,219.0,1,168,0.0,0.0,0.0,0.0,6.8530066131826155
39,4,219,2012,12,5.586560968933135e-06,1.79,0.0,60.01302437597104,267.0,4.0,0.0,238.4,3.0,31,17.0,17.0,1.0,0,0,267.0,1,267.0,267.0,1,137,0.0,0.0,0.0,0.0,8.142135586153
40,4,219,2012,12,0.07217128747156157,3.09,0.223,-33.225944071392696,194.0,2.0,0.0,238.31,3.5,25,12.0,4.0,19.0,0,0,194.0,1,194.0,194.0,1,351,0.0,0.0,0.0,0.0,31.0
41,4,219,2012,12,0.018999724641671864,0.69,0.0131,2.9664684996328106,70.0,1.0,0.0,236.59,2.0,19,1.0,3.0,8.0,0,0,70.0,1,70.0,70.0,1,263,0.0,0.0,0.0,0.0,13.350973300275186
42,4,219,2012,12,0.1147853578094478,3.22,0.3696,60.63503718969369,189.0,2.0,0.0,238.3,3.5,8,11.0,4.0,31.0,0,0,189.0,1,189.0,189.0,1,289,0.0,0.0,0.0,0.0,0.21810429198553155
43,4,219,2012,12,1.449254358632484e-05,0.69,0.0,-29.17716367704929,289.0,0.0,0.0,234.51,4.0,33,18.0,1.0,1.0,0,0,289.0,1,289.0,289.0,1,253,0.0,0.0,0.0,0.0,31.0
44,4,219,2012,12,0.10524814341060304,3.26,0.3431,51.42640742615254,219.0,3.0,0.0,238.33,3.5,2,13.0,12.0,27.0,0,0,219.0,1,219.0,219.0,1,389,0.0,0.0,0.0,0.0,0.27023815442731974
45,4,219,2012,12,0.01307215497416977,2.77,0.0362,-57.765619521265535,405.0,4.0,0.0,238.4,4.5,27,29.0,17.0,11.0,0,0,405.0,1,405.0,405.0,1,372,0.0,0.0,0.0,0.0,19.558822360715183
46,4,219,2012,12,0.1095311021034525,3.18,0.3483,42.41171387618221,330.0,4.0,0.0,238.29,4.0,6,24.0,17.0,28.0,0,0,330.0,1,330.0,330.0,1,389,0.0,0.0,0.0,0.0,15.5
47,4,219,2012,12,0.059144070375791676,0.69,0.0408,35.71576832132283,135.0,2.0,0.0,236.0,4.0,7,4.0,4.0,12.0,0,0,135.0,1,135.0,135.0,1,359,0.0,0.0,0.0,0.0,19.558822360715183
48,4,219,2012,12,9.0908264470323e-06,1.1,0.0,43.72494644954682,169.0,3.0,0.0,234.1,4.0,30,9.0,12.0,1.0,0,0,169.0,1,169.0,169.0,1,278,0.0,0.0,0.0,0.0,0.227670248696953
49,4,219,2012,12,0.08622928858714281,3.18,0.2742,15.426407426152535,255.0,4.0,0.0,238.06,4.5,14,15.0,17.0,23.0,0,0,255.0,1,255.0,255.0,1,476,0.0,0.0,0.0,0.0,9.331929865583417
50,4,219,2012,12,0.11214561445461348,3.22,0.3611,11.893034886674798,408.0,4.0,0.0,238.3,4.0,13,30.0,17.0,30.0,0,0,408.0,1,408.0,408.0,1,588,0.0,0.0,0.0,0.0,7.93469876910428
51,4,219,2012,12,0.09868207961610184,3.18,0.3138,114.02919471839148,323.0,4.0,0.0,238.28,4.5,20,21.0,17.0,24.0,0,0,323.0,1,323.0,323.0,1,505,0.0,0.0,0.0,0.0,0.21533827903669653
52,4,219,2012,12,4.166649305627893e-06,2.4,0.0,31.715768321322827,139.0,2.0,0.0,233.87,4.0,32,5.0,4.0,1.0,0,0,139.0,1,139.0,139.0,1,260,0.0,0.0,0.0,0.0,7.93469876910428
53,4,219,2012,12,4.166649305627893e-06,2.4,0.0,28.33536962110409,139.0,2.0,0.0,238.43,4.0,35,5.0,4.0,1.0,0,0,139.0,1,139.0,139.0,1,256,0.0,0.0,0.0,0.0,13.350973300275186
